0,50
0,65
0,71
0,116
0,128
0,173
0,189
0,335
0,716
0,717
0,718
0,719
0,943
0,944
0,1494
0,1495
0,1496
0,1497
0,1498
0,1499
0,1500
0,1501
0,1502
0,1503
0,1504
0,1505
0,1506
0,1507
0,1508
0,1509
0,1768
0,1769
0,1770
0,1771
0,1772
0,1773
0,1774
0,1775
0,1776
0,1777
0,1778
0,1779
0,1780
0,1781
0,1782
1,58
1,696
2,31
2,36
2,39
2,50
2,95
2,97
2,104
2,117
2,136
2,145
2,147
2,190
2,195
2,231
2,374
2,945
2,985
2,1037
2,1783
2,1784
2,1785
2,1825
2,1826
2,1827
3,63
4,146
4,161
4,173
4,264
4,446
4,534
4,1092
4,1093
4,1094
4,1095
5,58
5,65
5,424
6,56
6,148
6,157
6,170
6,178
6,242
7,555
8,82
8,92
8,116
8,161
8,162
8,176
8,256
8,327
8,345
8,356
8,658
8,659
8,925
8,926
8,1401
8,1402
8,1403
8,1404
8,1405
8,1406
9,71
9,102
9,145
9,259
9,615
9,616
9,617
9,618
9,619
9,620
9,621
9,622
9,623
9,624
9,625
9,626
9,627
9,628
9,1364
9,1365
9,1366
10,88
10,96
10,158
10,800
10,1448
11,101
11,246
11,572
11,573
11,574
11,575
11,576
11,988
11,989
11,1313
11,1314
11,1315
11,1316
11,1725
11,1726
11,1727
11,1840
11,1841
11,1842
12,39
12,58
12,60
12,65
12,107
12,149
12,219
12,420
12,1063
13,27
13,48
13,81
13,91
13,176
13,180
13,293
13,702
13,1023
13,1048
13,1051
13,1469
13,1470
13,1471
13,1472
13,1473
13,1474
13,1475
13,1476
13,1477
13,1478
14,26
14,27
14,49
14,69
14,123
14,143
14,167
14,173
14,196
14,228
14,229
14,230
14,237
14,305
14,309
14,317
14,366
14,369
14,376
14,377
14,378
14,386
14,388
14,391
14,392
14,394
14,395
14,399
14,408
14,412
14,425
14,426
14,434
14,670
14,671
14,672
14,673
14,674
14,675
14,676
14,677
14,678
14,983
14,1022
14,1029
14,1031
14,1033
14,1034
14,1036
14,1043
14,1045
14,1046
14,1047
14,1049
14,1053
14,1056
14,1059
14,1062
14,1065
14,1421
14,1422
14,1423
14,1424
14,1425
14,1426
14,1427
14,1428
14,1429
14,1430
14,1431
14,1432
14,1433
14,1434
14,1435
14,1436
14,1437
14,1438
14,1762
14,1763
15,81
15,84
15,106
15,134
15,161
15,823
15,824
15,825
15,826
15,827
15,828
15,979
15,980
15,990
15,1668
16,31
16,207
16,778
16,1581
16,1582
16,1583
16,1584
16,1585
17,79
17,186
17,264
17,276
17,382
17,400
17,410
17,417
17,467
17,468
17,469
17,470
17,840
17,857
17,858
17,984
17,992
17,1109
17,1148
17,1149
17,1150
17,1151
17,1688
17,1689
17,1690
18,152
19,87
19,472
19,473
20,50
21,58
21,62
21,144
21,1050
21,1064
21,1616
21,1617
21,1618
21,1619
21,1620
22,144
23,92
23,94
23,118
23,161
23,216
23,225
23,228
23,251
